brand,product_links
"burberry
","['BURBERRY', 'https://www.sephora.com/product/brit-eau-de-parfum-P49405?skuId=707729&icid2=products grid:p49405:product']"
"burberry
","['BURBERRY', 'https://www.sephora.com/product/brit-sheer-P222308?skuId=1111657&icid2=products grid:p222308:product']"
"hermes
","['HERMÈS', 'https://www.sephora.com/product/hermes-replica-coffret-set-P469475?skuId=2412120&icid2=products grid:p469475:product']"
"hermes
","['HERMÈS', 'https://www.sephora.com/product/jardin-collection-miniature-coffret-set-P450560?skuId=2290930&icid2=products grid:p450560:product']"
"hermes
","['HERMÈS', 'https://www.sephora.com/product/hermes-twilly-d-herm-egrave-s-eau-de-parfum-travel-spray-P474835?skuId=2477768&icid2=products grid:p474835:product']"
"hermes
","['HERMÈS', 'https://www.sephora.com/product/un-jardin-sur-le-nil-P375126?skuId=875773&icid2=products grid:p375126:product']"
"hermes
","['HERMÈS', 'https://www.sephora.com/product/twilly-d-herm-P422442?skuId=1976554&icid2=products grid:p422442:product']"
"hermes
","['HERMÈS', 'https://www.sephora.com/product/hermes-twilly-eau-ginger-eau-de-parfum-travel-size-P474327?skuId=2477776&icid2=products grid:p474327:product']"
"hermes
","['HERMÈS', 'https://www.sephora.com/product/un-jardin-sur-le-toit-P375127?skuId=1334960&icid2=products grid:p375127:product']"
"clinique
","['CLINIQUE', 'https://www.sephora.com/product/clinique-moisture-surge-trade-100-hour-auto-replenishing-hydrator-P468351?skuId=2421709&icid2=products grid:p468351:product']"
"clinique
","['CLINIQUE', 'https://www.sephora.com/product/take-the-day-off-cleansing-balm-P126301?skuId=886267&icid2=products grid:p126301:product']"
"clinique
","['CLINIQUE', 'https://www.sephora.com/product/great-skin-great-deal-set-for-combination-oily-skin-P385631?skuId=1599422&icid2=products grid:p385631:product']"
"clinique
","['CLINIQUE', 'https://www.sephora.com/product/3-step-introductory-kit-for-oilier-skins-P384391?skuId=1569045&icid2=products grid:p384391:product']"
"clinique
","['CLINIQUE', 'https://www.sephora.com/product/all-about-eyes-rich-P174502?skuId=971473&icid2=products grid:p174502:product']"
"clinique
","['CLINIQUE', 'https://www.sephora.com/product/great-skin-great-deal-set-for-dry-combination-skin-P385632?skuId=1599414&icid2=products grid:p385632:product']"
"clinique
","['CLINIQUE', 'https://www.sephora.com/product/chubby-stick-moisturizing-lip-colour-balm-P279113?skuId=1307859&icid2=products grid:p279113:product']"
"giorgio-armani-beauty
","['Armani Beauty', 'https://www.sephora.com/product/luminous-silk-foundation-P393401?skuId=1491380&icid2=products grid:p393401:product']"
"giorgio-armani-beauty
","['Armani Beauty', 'https://www.sephora.com/product/giorgio-armani-beauty-lip-power-lipstick-P471221?skuId=2424521&icid2=products grid:p471221:product']"
"giorgio-armani-beauty
","['Armani Beauty', 'https://www.sephora.com/product/giorgio-armani-beauty-luminous-silk-concealer-P456158?skuId=2340982&icid2=products grid:p456158:product']"
"giorgio-armani-beauty
","['Armani Beauty', 'https://www.sephora.com/product/luminous-silk-foundation-mini-P425938?skuId=2492627&icid2=products grid:p425938:product']"
"giorgio-armani-beauty
","['Armani Beauty', 'https://www.sephora.com/product/giorgio-armani-beauty-neo-nude-color-melting-cream-blush-P472016?skuId=2463818&icid2=products grid:p472016:product']"
